,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12
141,0,2,1,0,5,1,3,3,4,4,1
142,1,1,2,2,4,6,1,5,6,0,2
143,1,1,2,1,3,6,1,5,3,0,2
144,0,2,1,0,5,1,6,3,4,4,1
145,1,1,2,4,4,6,1,5,3,2,2
146,0,2,1,0,5,1,6,3,5,9,1
147,0,1,2,1,1,0,1,5,9,8,0
148,0,2,1,0,5,1,3,3,4,9,1
149,0,2,2,1,1,0,3,1,9,8,8
150,0,2,1,0,5,1,6,3,5,1,1
151,0,1,2,2,3,6,1,5,3,0,2
152,1,1,2,4,4,4,1,7,8,2,9
153,0,2,1,1,1,0,3,1,9,9,8
154,1,1,2,2,4,6,1,5,6,0,2
155,0,2,1,1,1,0,2,6,9,8,8
156,0,2,1,0,5,1,6,6,4,4,1
157,0,1,2,1,1,4,2,7,7,5,10
158,0,1,2,1,1,0,1,5,6,0,2
159,1,1,2,4,4,6,1,0,8,5,9
160,0,2,1,0,5,1,6,3,4,4,1
161,0,2,1,1,1,0,2,1,9,8,8
162,0,2,1,1,5,1,3,3,4,7,1
163,0,2,1,1,5,1,3,3,4,7,1
164,1,0,3,3,0,3,7,8,0,10,6
165,1,1,2,4,3,6,1,5,6,0,10
166,0,2,1,1,5,1,3,3,4,7,1
167,1,0,0,3,2,2,4,2,0,3,3
168,0,1,2,1,1,0,1,7,2,8,2
169,0,2,1,0,5,1,6,3,4,7,1
170,0,2,1,0,5,1,6,3,4,4,1
171,1,1,2,2,4,6,1,5,6,0,2
172,0,2,1,0,5,1,6,6,5,4,4
173,1,1,2,4,1,0,2,7,8,2,0
174,0,2,1,0,5,1,2,6,5,1,8
175,1,1,2,4,4,4,1,5,6,5,10
176,1,1,2,4,4,4,1,5,6,0,10
177,0,2,1,1,1,0,3,1,9,8,8
178,1,1,2,2,3,6,1,5,6,0,2
179,0,2,1,0,5,1,6,3,4,4,1
180,1,0,3,3,2,2,4,2,0,3,7
181,0,2,1,0,5,1,6,3,4,7,1
182,1,0,0,3,2,5,0,4,0,3,3
183,1,1,2,4,3,4,1,5,7,5,10
184,0,2,1,0,5,1,6,6,5,1,4
185,0,1,2,1,3,6,1,5,3,0,2
186,1,0,3,3,2,3,0,4,0,10,11
187,1,1,2,4,3,6,1,5,7,0,10
188,1,0,3,3,2,3,0,4,0,3,11
189,1,1,2,2,3,6,1,5,6,0,2
190,0,2,1,0,5,1,6,6,5,1,4
191,1,0,0,3,2,2,0,2,0,3,3
192,0,2,1,0,5,1,6,3,4,4,1
193,0,1,2,1,1,6,1,5,7,0,2
194,1,0,3,3,2,3,0,4,0,10,11
195,0,1,2,1,3,6,1,5,7,0,2
196,1,1,2,2,3,6,1,5,3,0,2
197,1,1,2,4,4,6,1,7,6,2,0
198,0,2,2,1,1,1,3,3,4,7,1
199,0,2,1,0,5,1,3,3,5,9,1
200,1,0,3,3,2,3,7,8,0,10,7
201,0,2,1,0,5,1,3,3,5,9,1
202,0,2,1,1,1,0,3,1,9,9,8
203,0,2,1,1,1,0,3,1,9,8,8
204,0,2,2,1,1,0,3,1,9,9,8
205,0,1,2,1,3,6,3,5,3,9,2
206,1,1,3,4,0,3,7,7,8,2,0
207,1,1,2,4,3,6,1,5,3,0,2
208,0,2,1,1,1,0,3,1,9,8,8
209,0,1,2,1,1,0,1,1,9,8,8
210,0,2,2,1,1,0,3,1,9,8,8
211,0,2,1,0,5,1,2,6,4,4,4
212,0,2,1,0,5,1,6,3,4,4,1
213,0,2,1,0,5,1,6,3,5,1,4
214,0,2,1,0,5,1,6,6,5,1,4
215,0,2,2,1,1,0,2,1,9,8,8
216,0,2,1,0,5,1,6,6,5,1,4
217,0,2,1,0,5,1,6,3,5,1,1
218,1,1,2,4,3,6,1,5,7,0,10
219,0,2,2,1,1,0,2,1,7,8,8
220,0,2,1,1,1,0,2,6,7,8,8
221,0,2,1,0,5,1,3,3,4,7,1
222,0,1,2,1,1,0,2,1,9,8,8
223,1,1,2,4,0,0,2,8,9,5,10
224,0,2,2,1,1,0,2,1,9,8,8
225,0,1,2,1,4,6,1,5,1,0,2
226,0,2,1,0,5,1,6,3,5,1,1
227,0,1,2,1,1,6,1,7,6,0,2
228,0,2,1,1,1,0,2,6,5,1,8
229,1,1,2,4,1,6,1,7,8,5,0
230,0,1,2,1,1,0,2,1,2,8,8
231,1,0,3,3,0,3,7,8,0,10,7
232,1,1,2,2,4,6,1,5,3,0,2
233,0,1,2,1,1,6,1,5,7,0,2
234,0,2,1,0,5,1,3,3,4,7,1
235,0,1,2,1,4,6,1,5,3,0,2
236,0,2,2,1,1,0,3,1,9,8,8
237,1,1,2,4,1,6,1,7,3,0,2
238,0,1,2,1,1,0,3,1,3,8,2
239,0,2,1,1,5,0,2,6,7,8,8
240,1,1,2,2,4,2,1,5,6,0,2
241,0,2,1,0,5,1,6,3,4,1,1
242,0,2,1,0,5,1,6,6,5,9,4
243,1,1,2,2,4,6,1,5,6,0,2
244,1,1,2,2,3,6,1,5,6,0,2
245,0,2,1,0,5,1,6,3,4,7,1
246,0,2,1,1,1,0,3,1,9,8,8
247,1,1,2,2,4,6,1,5,1,0,2
248,0,2,2,1,1,0,3,1,9,8,8
249,1,1,3,4,0,3,7,8,8,2,0
250,0,2,1,0,5,1,6,6,4,6,4
251,1,1,3,3,0,3,7,8,8,10,6
252,0,2,1,0,5,1,6,6,5,6,4
253,0,2,1,0,5,1,6,6,5,6,4
254,1,0,0,3,2,5,4,4,0,3,3
255,1,1,2,2,4,6,1,5,6,0,2
256,1,1,3,4,4,3,7,8,1,2,6
257,1,1,2,4,4,4,1,5,6,0,2
258,1,1,2,4,4,4,1,0,6,5,9
259,0,2,1,1,1,0,2,1,9,8,8
260,0,2,1,1,1,0,3,1,9,8,8
261,0,2,1,1,5,1,3,3,4,7,1
262,0,2,1,0,5,1,6,3,4,1,1
263,0,1,2,1,4,6,1,5,7,0,2
264,0,2,1,0,5,1,6,3,4,4,1
265,0,2,1,0,5,1,6,3,4,4,1
266,1,1,3,4,4,6,4,7,8,2,0
267,0,2,1,0,5,1,6,3,4,7,1
268,0,1,2,1,1,6,1,5,3,0,2
269,1,0,3,3,0,3,0,4,0,10,6
270,0,1,2,1,3,4,1,5,7,7,2
271,0,2,1,0,5,1,6,3,5,1,4
272,0,2,1,0,5,1,6,3,4,4,1
273,0,2,1,0,5,1,6,3,4,4,1
274,0,2,1,0,5,1,6,3,4,4,1
275,0,2,1,0,5,1,6,6,5,1,4
276,0,2,1,0,5,1,6,6,5,4,4
277,0,2,1,0,5,1,2,6,5,4,8
278,0,1,2,1,1,6,3,7,9,8,2
279,0,2,1,0,5,1,6,3,4,7,1
280,0,2,2,1,1,6,3,7,7,8,8
281,1,0,0,3,2,5,4,4,0,3,3
282,0,1,2,1,1,0,2,1,9,8,8
283,1,1,2,4,1,6,1,7,2,0,2
284,1,0,0,3,2,5,4,4,0,3,3
285,1,1,2,4,4,6,1,5,6,0,2
286,0,1,2,1,1,0,3,1,2,8,8
287,0,2,1,1,5,0,3,1,9,9,8
288,0,1,2,1,1,0,3,1,2,8,8
289,1,1,2,4,4,6,1,5,6,0,10
290,1,0,0,3,2,5,4,4,0,3,11
291,1,1,2,2,4,6,1,5,6,0,2
292,0,2,1,0,5,0,2,6,5,1,8
293,1,0,3,3,0,3,0,4,0,10,11
294,1,1,3,3,0,3,7,8,8,10,6
295,0,1,2,1,4,6,1,5,7,0,2
296,0,1,2,1,1,6,1,5,7,0,2
297,0,2,1,1,1,0,3,1,9,8,8
298,1,1,2,4,1,0,1,7,8,2,0
299,0,2,1,1,1,0,3,1,9,8,8
300,1,1,2,4,1,4,7,7,8,2,6
301,0,1,2,1,1,6,3,7,3,0,2
302,1,1,2,4,4,4,7,0,1,5,10
303,1,1,2,4,3,6,1,7,6,2,0
304,0,2,2,1,1,0,3,1,9,8,8
305,0,2,1,1,1,0,2,1,9,8,8
306,0,2,1,1,5,0,3,1,9,8,8
307,1,1,3,3,0,3,7,8,8,10,6
308,0,1,2,1,3,6,1,5,3,0,2
309,0,2,1,0,5,1,6,3,4,9,1
310,1,0,3,3,2,2,4,4,0,3,3
311,1,1,2,4,4,6,1,7,8,0,2
312,0,1,2,1,4,6,1,5,6,0,2
313,1,0,0,3,2,5,0,2,0,3,3
314,1,1,3,4,0,3,7,8,8,2,0
315,1,1,2,4,1,4,1,7,2,5,10
316,1,0,0,3,2,5,4,4,0,3,11
317,1,1,2,4,1,4,7,0,8,5,9
318,0,2,1,1,1,0,3,1,9,8,8
319,1,1,3,3,0,3,7,8,2,10,7
320,0,1,2,1,1,0,2,1,9,8,8
321,1,1,2,4,1,4,1,7,7,2,0
322,0,2,1,0,5,1,6,3,4,9,1
323,1,1,2,4,1,4,5,7,1,2,0
324,0,1,2,4,1,4,1,7,6,0,2
325,1,0,0,3,2,5,0,2,0,3,3
326,1,1,2,4,4,6,1,5,3,0,2
327,1,0,0,3,2,5,0,4,0,3,11
328,1,1,2,4,1,6,1,7,8,2,0
329,1,0,3,3,0,3,7,8,0,10,11
330,0,2,1,0,5,1,3,3,5,9,1
331,1,0,3,3,0,3,0,4,0,10,11
332,1,0,3,3,2,5,0,4,0,3,11
333,1,1,2,4,4,4,1,0,8,5,9
334,1,0,3,3,0,3,7,8,0,10,11
335,1,1,2,4,3,6,1,5,6,0,2
336,0,1,2,1,1,0,3,1,2,5,8
337,0,1,2,1,1,6,1,7,9,8,2
338,0,2,1,1,1,0,2,1,9,8,8
339,0,1,2,1,1,4,2,7,7,2,10
340,0,2,1,0,5,1,6,6,5,6,4
341,0,2,1,0,5,1,6,3,5,1,1
342,0,1,2,1,1,0,3,1,9,8,8
343,1,0,3,3,2,2,0,2,0,10,7
344,1,0,3,3,0,3,0,4,0,10,11
345,0,1,2,1,3,6,1,5,6,0,2
346,0,1,2,1,1,6,1,5,6,0,2
347,0,2,2,1,1,0,2,1,9,8,8
348,0,2,1,1,1,0,2,1,9,8,8
349,1,0,3,3,0,3,7,8,0,10,11
350,0,1,2,1,3,6,1,5,3,7,2
351,0,1,2,1,1,0,3,1,2,8,8
352,0,2,1,1,5,0,3,1,9,4,1
353,1,1,2,2,4,6,1,5,6,0,2
354,1,1,2,4,1,6,1,7,8,2,0
355,0,2,1,1,5,0,2,6,9,8,8
356,0,1,2,4,1,4,1,5,7,5,10
357,0,2,1,1,1,0,3,1,9,8,8
358,0,1,2,4,1,4,1,0,7,5,10
359,1,1,2,4,3,6,1,5,7,0,2
360,1,1,2,2,3,6,1,5,6,0,2
361,1,1,3,4,4,3,1,7,8,2,0
362,0,1,2,1,1,0,2,1,9,8,8
363,0,1,2,1,1,0,2,1,9,8,8
364,0,1,2,1,1,0,2,1,9,8,8
365,0,1,2,1,1,0,1,5,1,8,8
366,0,2,1,0,5,1,3,1,9,8,1
367,0,1,2,1,1,6,1,5,6,0,2
368,1,1,2,4,4,6,1,7,8,0,2
369,1,0,3,3,0,3,7,8,0,10,7
370,1,1,2,4,1,6,1,7,8,0,0
371,1,1,2,4,4,6,1,5,6,0,2
372,0,2,1,1,1,0,3,1,9,8,8
373,0,1,2,1,1,0,3,1,9,8,8
374,0,2,1,0,5,1,6,3,4,7,1
375,1,0,0,3,2,5,4,4,0,3,3
376,1,1,2,2,4,6,1,5,6,0,2
377,1,1,2,4,1,6,1,7,2,2,0
378,1,1,2,4,4,4,1,5,6,0,2
379,1,1,2,4,4,4,1,0,6,5,9
380,0,2,2,1,1,0,2,1,9,8,8
381,0,1,2,1,1,0,3,7,7,8,8
382,1,0,0,3,2,5,4,4,0,3,11
383,0,1,2,1,1,0,2,1,9,8,8
384,0,1,2,1,1,0,3,7,2,8,8
385,1,0,0,3,2,5,4,4,0,3,3
386,1,1,2,4,4,6,1,5,6,0,2
387,0,1,2,1,1,0,3,1,2,8,8
388,0,2,1,1,5,0,3,1,9,8,8
389,0,1,2,1,1,0,3,1,2,8,8
390,1,1,2,4,4,3,7,8,6,2,6
391,1,0,0,3,2,5,4,4,0,3,11
392,1,1,2,4,4,6,1,5,6,0,2
393,0,2,1,1,1,0,2,1,5,1,8
394,1,0,3,3,0,3,0,4,0,10,11
395,1,1,3,3,0,3,7,8,8,10,6
